Key,Source,Context,Changes,English,French,German,Klingon,Spanish
quest,,Category,KgNone,任务,Quête,Quest,,Misión
challenge,,Category,KgNone,挑战,Défi,Herausforderung,,Desafío
treasure,,Category,KgNone,宝物,Trésor,Schatz,,Tesoros
bonus,,Category,KgNone,奖励,Bonus,Bonus,,Bonos
questChain,,Category,KgNone,任务链,Série de quêtes,Questserie,,Cadena de misiones
difficulty_veryeasy,,Difficulty,KgNone,非常简单,Très facile,Sehr einfach,,Muy fácil
difficulty_easy,,Difficulty,KgNone,简单,Facile,Einfach,,Fácil
difficulty_medium,,Difficulty,KgNone,一般,Moyenne,Mittel,,Medio
difficulty_hard,,Difficulty,KgNone,困难,Difficile,Schwierig,,Difícil
difficulty_insane,,Difficulty,KgNone,疯狂,Extrême,Irre,,Demente
started,,Keywords,KgNone,开始,En cours,Begonnen,,Empezada
completed,,Keywords,KgNone,完成,Terminée,Abgeschlossen,,Completada
failed,,Keywords,KgNone,失败,Échec,Fehlgeschlagen,,Fallida
optional,,Keywords,KgNone,可选,Facultative,Optional,,Opcional
RewardTypeQuest,,Keywords,KgNone,奖励,Récompense,Belohnung,,Recompensa
RewardTypeChainQuest,,Keywords,KgNone,任务链奖励,Récompense de série,Serienbelohnung,,Cadena de recompensas
ObjectiveAnimalKill_keyword,,Keywords,KgNone,杀死,Tuer,Töten,,Mata
ObjectiveAssemble_keyword,,Keywords,KgNone,组装,Assembler,Zusammensetzen,,Ensambla
ObjectiveBlockPickup_keyword,,Keywords,KgNone,拾起,Ramasser,Aufheben,,Recoge
ObjectiveBlockPlace_keyword,,Keywords,KgNone,放置,Placer,platziert,,Coloca
ObjectiveBlockUpgrade_keyword,,Keywords,KgNone,升级,Améliorer,aufgewertet,,Mejora
ObjectiveBuff_keyword,,Keywords,KgNone,获取,Obtenir,Erhalten,,Consigue
ObjectiveCraft_keyword,,Keywords,KgNone,制作,Fabriquez,gefertigt,,Fabrica
ObjectiveFetch_keyword,,Keywords,KgNone,收集,Collectez,gesammelt,,Reúne
ObjectiveGoto_keyword,,Keywords,KgNone,定位{0},Trouver {0},Finde {0},,Ubicar {0}
ObjectiveExchangeItemFrom_keyword,,Keywords,KgNone,装满,Remplir,Füllen,,Llena
ObjectiveOpenWindow_keyword,,Keywords,KgNone,打开{0}窗口,Ouvrir la fenêtre {0},Öffne {0}-Fenster,,Abre {0} ventana(s)
ObjectiveRepair_keyword,,Keywords,KgNone,修理,Réparer,Reparieren,,Repara
ObjectiveScrap_keyword,,Keywords,KgNone,分解,Recycler,Zerlegen,,Desguaza
ObjectiveSpendSkillPoints_keyword,,Keywords,KgNone,购买{0}技能等级,Acheter {0} niveau(x) de compétence,Kaufe {0} Fertigkeitslevel(s),,Compra {0} nivel(es) de habilidad
ObjectiveTime_keyword,,Keywords,KgNone,时间,Durée,Zeit,,Tiempo
ObjectiveTreasureChest_keyword,,Keywords,KgNone,找到宝物,Trésor trouvé,Schatz gefunden,,Tesoro encontrado
ObjectiveWear_keyword,,Keywords,KgNone,穿上,Porter,getragen,,Vestir
ObjectiveZombieKill_keyword,,Keywords,KgNone,杀死,Tuer,Töten,,Mata
RequirementBuff_keyword,,Keywords,KgNone,效果,Effet,Effekt,,Efecto
RequirementHolding_keyword,,Keywords,KgNone,使用,Avec,Unter Verwendung von,,En uso
RequirementLevel_keyword,,Keywords,KgNone,等级,Niveau,Level,,Nivel
RequirementWearing_keyword,,Keywords,KgNone,穿上,Porter,Tragen,,Vestir
RewardExp_keyword,,Keywords,KgNone,经验,EXP,ERF,,EXP
RewardLevel_keyword,,Keywords,KgNone,等级,Niveau,Level,,Nivel
RewardQuest_keyword,,Keywords,KgNone,新任务,Nouvelle quête,Neue Quest,,Nueva misión
RewardRecipe_keyword,,Keywords,KgNone,解锁配方,Composition déverrouillée,Rezept freigeschaltet,,Receta desbloqueada
RewardSkill_keyword,,Keywords,KgNone,技能,Compétence,Fertigkeit,,Habilidad
RewardSkillPoint_keyword,,Keywords,KgNone,技能点,Point de compétence,Fertigkeitspunkt,,Punto de habilidad
requirementGroupFireaxe,,Requirement Group,KgNone,拿起消防斧,Tenir une hache de pompier,Feueraxt halten,,Sostener un hacha de incendio
