Key,Source,Context,Changes,English,French,German,Klingon,Spanish
keystoneBlockDesc,blocks,Block,EnChanged,领地石放置后可以让玩家在PVP时获得额外的防护加成。绿盒子会显示地方大小。,Bloc de revendication de terrain à placer pour fournir à la zone autour une protection supplémentaire contre les autres joueurs en JcJ.,Ein Gebietsschutzblock kann platziert werden um einen Bereich vor anderen Spielern im PvP zu schützen. Die grüne Box zeigt die Grösse des Bereichs an.,,Se puede colocar un bloque para reclamar un territorio y darle al área circundante una protección extra frente a otros jugadores en JcJ.
scrapFrameGroupDesc,blocks,Block,EnChanged,用于地基。用废铁升级和维护，配合石斧和建筑工具使用，也可以用混凝土、锻钢等进一步升级。,,Wird für Basen verwendet. Kann mit Eisen und Bauwerkzeugen aufgewertet und repariert werden. Kann mit Betonmischung und geschmiedetem Stahl weiter aufgewertet werden.,,
scrapHatch_v1Desc,blocks,Block,EnChanged,点击并且按住[激活]来锁定并设置联动。通过右键使用铁以及建筑工具来升级或是修复。,,Zum Verschließen oder Kombination eingeben [activate] gedrückt halten. Kann mit Eisen und Bauwerkzeugen unter Verwendung der sekundären Aktion aufgewertet und repariert werden.,,
spotlightNailedDownPOI,blocks,Block,EnChanged,移动光源（POI）,Projecteur fixe,Scheinwerfer (POI),,Foco clavado
woodFrameGroupDesc,blocks,Block,EnChanged,"用于地基。使用木材和建筑工具进行升级和修复，也可以用铁、混凝土、锻钢等进一步升级。",,Wird für Basen verwendet. Kann mit Holz und Bauwerkzeugen aufgewertet und repariert werden. Kann unter anderem mit Eisen und Betonmischung weiter aufgewertet werden.,,
cntCar03SedanDamage0,blocks,Container,EnChanged,轿车,Berline bleue,Coupé,,Sedán azul
cntCar03SedanDamage1,blocks,Container,EnChanged,损坏的轿车,Berline bleue endommagée,Beschädigtes Coupé,,Sedán azul estropeado
cntLootCrateShamway,blocks,Container,EnChanged,食物箱,Caisse Shamway,Shamway-Schachtel,,Caja de Shamway
cntLootCrateShotgunMessiah,blocks,Container,EnChanged,武器箱,Caisse d'armurerie,Waffenladen-Schachtel,,Caja de almacenaje de armas
cntLootCrateWorkingStiffs,blocks,Container,EnChanged,工具箱,Caisse Working Stiffs,Working-Stiffs-Schachtel,,Embalaje de la serie Working Stiffs
plantedCorn1,blocks,Farming,EnChanged,玉米种子,,,,
plantedCorn3Harvest,blocks,Farming,EnChanged,种植的玉米3（可收获）,Récolte de tige de maïs planté 2,Gepflanzte Maisstauden-Ernte 2,,Sembrado Tallo de maíz 2 Cosecha
barbedFenceDesc,blocks,Trap,EnChanged,"倒刺铁丝围栏由木头和锻铁制成，它们可以减缓敌人的速度让敌人更加容易处理，请使用副操作键进行放置。",,"Stacheldrahtzäune aus Holz und Eisen können Gegner verlangsamen, wodurch man einfacher mit ihnen fertig wird. Platziere sie mit der sekundären Aktion.",,
